Date,Open,High,Low,Close,Adj Close,Volume
2023-12-02,0.083856,0.086481,0.083548,0.086279,0.086279,462433973
2023-12-03,0.086283,0.087147,0.083890,0.085615,0.085615,550096321
2023-12-04,0.085617,0.091954,0.085431,0.091940,0.091940,1364950607
2023-12-05,0.091921,0.095057,0.087720,0.094247,0.094247,1094480332
2023-12-06,0.094248,0.105432,0.093774,0.094864,0.094864,2606846041
2023-12-07,0.094891,0.097939,0.093308,0.095920,0.095920,1229053762
2023-12-08,0.095914,0.103406,0.095825,0.101470,0.101470,1017561991
2023-12-09,0.101496,0.104615,0.098041,0.098542,0.098542,1122491938
2023-12-10,0.098543,0.102636,0.097152,0.101801,0.101801,687190079
2023-12-11,0.101812,0.105837,0.091815,0.094384,0.094384,1973481451
2023-12-12,0.094382,0.097453,0.091542,0.093835,0.093835,948285886
2023-12-13,0.093820,0.097382,0.090605,0.096428,0.096428,812811810
2023-12-14,0.096427,0.098679,0.094975,0.098255,0.098255,742258598
2023-12-15,0.098269,0.098611,0.092973,0.093004,0.093004,614056351
2023-12-16,0.093004,0.097076,0.092285,0.097056,0.097056,498585277
2023-12-17,0.097062,0.097585,0.092775,0.093097,0.093097,482463968
2023-12-18,0.093084,0.093651,0.087187,0.092036,0.092036,685264950
2023-12-19,0.092038,0.093355,0.089607,0.090297,0.090297,482452805
2023-12-20,0.090290,0.093265,0.089744,0.091417,0.091417,596172199
2023-12-21,0.091424,0.097211,0.090832,0.095004,0.095004,808685569
2023-12-22,0.095007,0.095494,0.092331,0.095198,0.095198,622353150
2023-12-23,0.095200,0.095200,0.092427,0.093562,0.093562,357245326
2023-12-24,0.093579,0.094802,0.091348,0.091895,0.091895,566323407
2023-12-25,0.091903,0.095167,0.091540,0.094449,0.094449,435910884
2023-12-26,0.094447,0.094447,0.089122,0.091356,0.091356,567640365
2023-12-27,0.091354,0.093864,0.089921,0.093579,0.093579,423259088
2023-12-28,0.093595,0.094901,0.091377,0.091884,0.091884,464569016
2023-12-29,0.091883,0.093014,0.089667,0.091038,0.091038,407349878
2023-12-30,0.091031,0.091401,0.089593,0.090148,0.090148,252403426
2023-12-31,0.090146,0.090816,0.088971,0.089472,0.089472,259196255
2024-01-01,0.089473,0.092046,0.088838,0.092024,0.092024,298687049
2024-01-02,0.092037,0.094330,0.090804,0.091204,0.091204,496309010
2024-01-03,0.091205,0.092093,0.081018,0.082042,0.082042,1026941029
2024-01-04,0.082049,0.084655,0.081551,0.084131,0.084131,514230239
2024-01-05,0.084121,0.084755,0.081235,0.082773,0.082773,547983037
2024-01-06,0.082773,0.082773,0.078854,0.080664,0.080664,414677901
2024-01-07,0.080668,0.081474,0.077635,0.078225,0.078225,399266341
2024-01-08,0.078228,0.081717,0.074972,0.081370,0.081370,603250657
2024-01-09,0.081378,0.082182,0.077233,0.079263,0.079263,957047300
2024-01-10,0.079263,0.084450,0.076683,0.082942,0.082942,703451086
2024-01-11,0.082969,0.087635,0.082383,0.084625,0.084625,778110109
2024-01-12,0.084615,0.085378,0.078247,0.080046,0.080046,607108203
2024-01-13,0.080036,0.081260,0.078906,0.080923,0.080923,297741301
2024-01-14,0.080921,0.083824,0.079851,0.079978,0.079978,461353847
